,x,y,x_end,Przedmiot,Strona,length_x,hour_mapped,x_cord_mapped,hour_diff,Godzina rozpoczęcia,Duration,Week_day
38,381.53,488.5,485.894,Sobota 10.10.2020_,1,104.36400000000003,12:00_,342.65,38.879999999999995,13:00,2h 30min,
39,85.8,473.7016,114.02928,07:00_,1,28.229280000000003,07:00_,85.8,0.0,7:15,1h 30min,Sobota 10.10.2020_
40,137.18,473.7016,165.40928,08:00_,1,28.22927999999999,08:00_,137.18,0.0,8:15,1h 30min,Sobota 10.10.2020_
41,188.54,473.7016,216.76927999999998,09:00_,1,28.22927999999999,09:00_,188.54,0.0,9:15,1h 30min,Sobota 10.10.2020_
42,239.9,473.7016,268.12928,10:00_,1,28.22927999999999,10:00_,239.9,0.0,10:15,1h 30min,Sobota 10.10.2020_
43,291.29,473.7016,319.51928000000004,11:00_,1,28.229280000000017,11:00_,291.29,0.0,11:15,1h 30min,Sobota 10.10.2020_
44,342.65,473.7016,370.87928,12:00_,1,28.229280000000017,12:00_,342.65,0.0,12:15,1h 30min,Sobota 10.10.2020_
45,394.01,473.7016,422.23928,13:00_,1,28.229280000000017,13:00_,394.01,0.0,13:15,1h 30min,Sobota 10.10.2020_
46,445.39,473.7016,473.61928,14:00_,1,28.229280000000017,14:00_,445.39,0.0,14:15,1h 30min,Sobota 10.10.2020_
47,496.75,473.7016,524.97928,15:00_,1,28.229280000000017,15:00_,496.75,0.0,15:15,1h 30min,Sobota 10.10.2020_
48,548.11,473.7016,576.33928,16:00_,1,28.229280000000017,16:00_,548.11,0.0,16:15,1h 30min,Sobota 10.10.2020_
49,599.5,473.7016,627.72928,17:00_,1,28.229280000000017,17:00_,599.5,0.0,17:15,1h 30min,Sobota 10.10.2020_
50,650.86,473.7016,679.08928,18:00_,1,28.229280000000017,18:00_,650.86,0.0,18:15,1h 30min,Sobota 10.10.2020_
51,702.22,473.7016,730.44928,19:00_,1,28.229280000000017,19:00_,702.22,0.0,19:15,1h 30min,Sobota 10.10.2020_
52,753.6,473.7016,781.82928,20:00_,1,28.229280000000017,20:00_,753.6,0.0,20:15,1h 30min,Sobota 10.10.2020_
53,39.24,412.5016,52.74192,ISI_,1,13.501919999999998,-1,-1.0,40.24,-1,1h 30min,Sobota 10.10.2020_
54,285.89,404.1016,352.25215999999995,"ME [ćw], dr _M.Wojciechowski, _sala C1_",1,66.36215999999996,10:00_,239.9,45.98999999999998,11:00,1h 30min,Sobota 10.10.2020_
55,375.77,404.1016,442.13215999999994,"ME [ćw], dr _M.Wojciechowski, _sala C1_",1,66.36215999999996,12:00_,342.65,33.120000000000005,12:45,1h 30min,Sobota 10.10.2020_
56,85.8,336.3916,114.02928,07:00_,1,28.229280000000003,07:00_,85.8,0.0,7:15,1h 30min,Sobota 10.10.2020_
57,137.18,336.3916,165.40928,08:00_,1,28.22927999999999,08:00_,137.18,0.0,8:15,1h 30min,Sobota 10.10.2020_
58,188.54,336.3916,216.76927999999998,09:00_,1,28.22927999999999,09:00_,188.54,0.0,9:15,1h 30min,Sobota 10.10.2020_
59,239.9,336.3916,268.12928,10:00_,1,28.22927999999999,10:00_,239.9,0.0,10:15,1h 30min,Sobota 10.10.2020_
60,291.29,336.3916,319.51928000000004,11:00_,1,28.229280000000017,11:00_,291.29,0.0,11:15,1h 30min,Sobota 10.10.2020_
61,342.65,336.3916,370.87928,12:00_,1,28.229280000000017,12:00_,342.65,0.0,12:15,1h 30min,Sobota 10.10.2020_
62,394.01,336.3916,422.23928,13:00_,1,28.229280000000017,13:00_,394.01,0.0,13:15,1h 30min,Sobota 10.10.2020_
63,445.39,336.3916,473.61928,14:00_,1,28.229280000000017,14:00_,445.39,0.0,14:15,1h 30min,Sobota 10.10.2020_
64,496.75,336.3916,524.97928,15:00_,1,28.229280000000017,15:00_,496.75,0.0,15:15,1h 30min,Sobota 10.10.2020_
65,548.11,336.3916,576.33928,16:00_,1,28.229280000000017,16:00_,548.11,0.0,16:15,1h 30min,Sobota 10.10.2020_
66,599.5,336.3916,627.72928,17:00_,1,28.229280000000017,17:00_,599.5,0.0,17:15,1h 30min,Sobota 10.10.2020_
67,650.86,336.3916,679.08928,18:00_,1,28.229280000000017,18:00_,650.86,0.0,18:15,1h 30min,Sobota 10.10.2020_
68,702.22,336.3916,730.44928,19:00_,1,28.229280000000017,19:00_,702.22,0.0,19:15,1h 30min,Sobota 10.10.2020_
69,753.6,336.3916,781.82928,20:00_,1,28.229280000000017,20:00_,753.6,0.0,20:15,1h 30min,Sobota 10.10.2020_
70,375.77,351.19,491.642,Niedziela 11.10.2020_,1,115.87200000000001,12:00_,342.65,33.120000000000005,12:45,2h 30min,Sobota 10.10.2020_
71,39.24,275.1716,52.74192,ISI_,1,13.501919999999998,-1,-1.0,40.24,-1,1h 30min,Sobota 10.10.2020_
72,130.22,271.9616,199.59715999999997,"WdGM [w], dr hab. _A.Denisiuk_",1,69.37715999999998,07:00_,85.8,44.42,8:00,1h 30min,Sobota 10.10.2020_
73,220.1,271.9616,289.47715999999997,"WdGM [w], dr hab. _A.Denisiuk_",1,69.37715999999998,09:00_,188.54,31.560000000000002,9:45,1h 30min,Sobota 10.10.2020_
74,316.13,271.9616,371.01908,"ASK [w], dr _J.Szubiakowski_",1,54.88907999999998,11:00_,291.29,24.839999999999975,11:30,1h 30min,Sobota 10.10.2020_
75,406.01,271.9616,460.89907999999997,"ASK [ćw], dr _J.Szubiakowski_",1,54.88907999999998,13:00_,394.01,12.0,13:15,1h 30min,Sobota 10.10.2020_
76,498.19,277.1216,586.9435599999999,"WWW [ćw], mgr H.Pikus_",1,88.75355999999994,15:00_,496.75,1.4399999999999977,15:15,2h 15min,Sobota 10.10.2020_
77,47.64,186.2516,782.992319999999,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - Inżynieria oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",1,735.352319999999,-1,-1.0,48.64,-1,2h 30min,Sobota 10.10.2020_
78,47.64,101.9816,134.18255999999997,Wykonał:_Mariusz Bodzioch_,1,86.54255999999997,-1,-1.0,48.64,-1,2h 15min,Sobota 10.10.2020_
79,319.85,116.0216,432.77816,Przedst. samorz. stud.:_,1,112.92815999999999,11:00_,291.29,28.560000000000002,11:45,2h 30min,Sobota 10.10.2020_
80,615.22,116.0216,657.98896,Dziekan:_,1,42.76895999999999,17:00_,599.5,15.720000000000027,17:30,1h 30min,Sobota 10.10.2020_
81,309.17,516.7516,558.0430400000002,"Plan NS sem. zimowy 2020/2021_Informatyka, NS - I st., rok III, semestr 5_",2,248.87304000000023,11:00_,291.29,17.879999999999995,11:30,2h 30min,
82,381.53,488.5,485.894,Sobota 17.10.2020_,2,104.36400000000003,12:00_,342.65,38.879999999999995,13:00,2h 30min,
83,85.8,473.7016,114.02928,07:00_,2,28.229280000000003,07:00_,85.8,0.0,7:15,1h 30min,Sobota 17.10.2020_
84,137.18,473.7016,165.40928,08:00_,2,28.22927999999999,08:00_,137.18,0.0,8:15,1h 30min,Sobota 17.10.2020_
85,188.54,473.7016,216.76927999999998,09:00_,2,28.22927999999999,09:00_,188.54,0.0,9:15,1h 30min,Sobota 17.10.2020_
86,239.9,473.7016,268.12928,10:00_,2,28.22927999999999,10:00_,239.9,0.0,10:15,1h 30min,Sobota 17.10.2020_
87,291.29,473.7016,319.51928000000004,11:00_,2,28.229280000000017,11:00_,291.29,0.0,11:15,1h 30min,Sobota 17.10.2020_
88,342.65,473.7016,370.87928,12:00_,2,28.229280000000017,12:00_,342.65,0.0,12:15,1h 30min,Sobota 17.10.2020_
89,394.01,473.7016,422.23928,13:00_,2,28.229280000000017,13:00_,394.01,0.0,13:15,1h 30min,Sobota 17.10.2020_
90,445.39,473.7016,473.61928,14:00_,2,28.229280000000017,14:00_,445.39,0.0,14:15,1h 30min,Sobota 17.10.2020_
91,496.75,473.7016,524.97928,15:00_,2,28.229280000000017,15:00_,496.75,0.0,15:15,1h 30min,Sobota 17.10.2020_
92,548.11,473.7016,576.33928,16:00_,2,28.229280000000017,16:00_,548.11,0.0,16:15,1h 30min,Sobota 17.10.2020_
93,599.5,473.7016,627.72928,17:00_,2,28.229280000000017,17:00_,599.5,0.0,17:15,1h 30min,Sobota 17.10.2020_
94,650.86,473.7016,679.08928,18:00_,2,28.229280000000017,18:00_,650.86,0.0,18:15,1h 30min,Sobota 17.10.2020_
95,702.22,473.7016,730.44928,19:00_,2,28.229280000000017,19:00_,702.22,0.0,19:15,1h 30min,Sobota 17.10.2020_
96,753.6,473.7016,781.82928,20:00_,2,28.229280000000017,20:00_,753.6,0.0,20:15,1h 30min,Sobota 17.10.2020_
97,39.24,412.5016,52.74192,ISI_,2,13.501919999999998,-1,-1.0,40.24,-1,1h 30min,Sobota 17.10.2020_
98,202.94,414.4516,253.25432,Blok językowy_,2,50.31432000000001,09:00_,188.54,14.400000000000006,9:30,1h 30min,Sobota 17.10.2020_
99,350.21,414.4516,414.0717199999999,"IO [w], dr M.Kolev_",2,63.861719999999934,12:00_,342.65,7.560000000000002,12:15,1h 30min,Sobota 17.10.2020_
100,442.87,409.2616,503.36296,"IO [ćw], mgr inż. _M.Żużel_",2,60.49295999999998,13:00_,394.01,48.860000000000014,14:00,1h 30min,Sobota 17.10.2020_
101,532.75,409.2616,593.24296,"IO [ćw], mgr inż. _M.Żużel_",2,60.49296000000004,15:00_,496.75,36.0,15:45,1h 30min,Sobota 17.10.2020_
102,618.94,414.4516,723.21076,"ME [ćw], dr M.Wojciechowski_",2,104.27076,17:00_,599.5,19.440000000000055,17:30,2h 30min,Sobota 17.10.2020_
103,85.8,336.3916,114.02928,07:00_,2,28.229280000000003,07:00_,85.8,0.0,7:15,1h 30min,Sobota 17.10.2020_
104,137.18,336.3916,165.40928,08:00_,2,28.22927999999999,08:00_,137.18,0.0,8:15,1h 30min,Sobota 17.10.2020_
105,188.54,336.3916,216.76927999999998,09:00_,2,28.22927999999999,09:00_,188.54,0.0,9:15,1h 30min,Sobota 17.10.2020_
106,239.9,336.3916,268.12928,10:00_,2,28.22927999999999,10:00_,239.9,0.0,10:15,1h 30min,Sobota 17.10.2020_
107,291.29,336.3916,319.51928000000004,11:00_,2,28.229280000000017,11:00_,291.29,0.0,11:15,1h 30min,Sobota 17.10.2020_
108,342.65,336.3916,370.87928,12:00_,2,28.229280000000017,12:00_,342.65,0.0,12:15,1h 30min,Sobota 17.10.2020_
109,394.01,336.3916,422.23928,13:00_,2,28.229280000000017,13:00_,394.01,0.0,13:15,1h 30min,Sobota 17.10.2020_
110,445.39,336.3916,473.61928,14:00_,2,28.229280000000017,14:00_,445.39,0.0,14:15,1h 30min,Sobota 17.10.2020_
111,496.75,336.3916,524.97928,15:00_,2,28.229280000000017,15:00_,496.75,0.0,15:15,1h 30min,Sobota 17.10.2020_
112,548.11,336.3916,576.33928,16:00_,2,28.229280000000017,16:00_,548.11,0.0,16:15,1h 30min,Sobota 17.10.2020_
113,599.5,336.3916,627.72928,17:00_,2,28.229280000000017,17:00_,599.5,0.0,17:15,1h 30min,Sobota 17.10.2020_
114,650.86,336.3916,679.08928,18:00_,2,28.229280000000017,18:00_,650.86,0.0,18:15,1h 30min,Sobota 17.10.2020_
115,702.22,336.3916,730.44928,19:00_,2,28.229280000000017,19:00_,702.22,0.0,19:15,1h 30min,Sobota 17.10.2020_
116,753.6,336.3916,781.82928,20:00_,2,28.229280000000017,20:00_,753.6,0.0,20:15,1h 30min,Sobota 17.10.2020_
117,375.77,351.19,491.642,Niedziela 18.10.2020_,2,115.87200000000001,12:00_,342.65,33.120000000000005,12:45,2h 30min,Sobota 17.10.2020_
118,39.24,275.1716,52.74192,ISI_,2,13.501919999999998,-1,-1.0,40.24,-1,1h 30min,Sobota 17.10.2020_
119,136.34,271.9616,191.22907999999998,"ASK [w], dr _J.Szubiakowski_",2,54.88907999999998,07:00_,85.8,50.540000000000006,8:00,1h 30min,Sobota 17.10.2020_
120,226.22,271.9616,281.10907999999995,"ASK [ćw], dr _J.Szubiakowski_",2,54.88907999999995,09:00_,188.54,37.68000000000001,9:45,1h 30min,Sobota 17.10.2020_
121,317.45,271.9616,371.95315999999997,"ERI [w], dr inż. _B.Nowak_",2,54.50315999999998,11:00_,291.29,26.159999999999968,11:45,1h 30min,Sobota 17.10.2020_
122,408.29,277.1216,497.04355999999996,"WWW [ćw], mgr H.Pikus_",2,88.75355999999994,13:00_,394.01,14.28000000000003,13:30,2h 15min,Sobota 17.10.2020_
123,47.64,186.2516,782.992319999999,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - Inżynieria oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",2,735.352319999999,-1,-1.0,48.64,-1,2h 30min,Sobota 17.10.2020_
124,47.64,101.9816,134.18255999999997,Wykonał:_Mariusz Bodzioch_,2,86.54255999999997,-1,-1.0,48.64,-1,2h 15min,Sobota 17.10.2020_
125,319.85,116.0216,432.77816,Przedst. samorz. stud.:_,2,112.92815999999999,11:00_,291.29,28.560000000000002,11:45,2h 30min,Sobota 17.10.2020_
126,615.22,116.0216,657.98896,Dziekan:_,2,42.76895999999999,17:00_,599.5,15.720000000000027,17:30,1h 30min,Sobota 17.10.2020_
127,309.17,516.7516,558.0430400000002,"Plan NS sem. zimowy 2020/2021_Informatyka, NS - I st., rok III, semestr 5_",3,248.87304000000023,11:00_,291.29,17.879999999999995,11:30,2h 30min,
128,381.53,488.5,485.894,Sobota 24.10.2020_,3,104.36400000000003,12:00_,342.65,38.879999999999995,13:00,2h 30min,
129,85.8,473.7016,114.02928,07:00_,3,28.229280000000003,07:00_,85.8,0.0,7:15,1h 30min,Sobota 24.10.2020_
130,137.18,473.7016,165.40928,08:00_,3,28.22927999999999,08:00_,137.18,0.0,8:15,1h 30min,Sobota 24.10.2020_
131,188.54,473.7016,216.76927999999998,09:00_,3,28.22927999999999,09:00_,188.54,0.0,9:15,1h 30min,Sobota 24.10.2020_
132,239.9,473.7016,268.12928,10:00_,3,28.22927999999999,10:00_,239.9,0.0,10:15,1h 30min,Sobota 24.10.2020_
133,291.29,473.7016,319.51928000000004,11:00_,3,28.229280000000017,11:00_,291.29,0.0,11:15,1h 30min,Sobota 24.10.2020_
134,342.65,473.7016,370.87928,12:00_,3,28.229280000000017,12:00_,342.65,0.0,12:15,1h 30min,Sobota 24.10.2020_
135,394.01,473.7016,422.23928,13:00_,3,28.229280000000017,13:00_,394.01,0.0,13:15,1h 30min,Sobota 24.10.2020_
136,445.39,473.7016,473.61928,14:00_,3,28.229280000000017,14:00_,445.39,0.0,14:15,1h 30min,Sobota 24.10.2020_
137,496.75,473.7016,524.97928,15:00_,3,28.229280000000017,15:00_,496.75,0.0,15:15,1h 30min,Sobota 24.10.2020_
138,548.11,473.7016,576.33928,16:00_,3,28.229280000000017,16:00_,548.11,0.0,16:15,1h 30min,Sobota 24.10.2020_
139,599.5,473.7016,627.72928,17:00_,3,28.229280000000017,17:00_,599.5,0.0,17:15,1h 30min,Sobota 24.10.2020_
140,650.86,473.7016,679.08928,18:00_,3,28.229280000000017,18:00_,650.86,0.0,18:15,1h 30min,Sobota 24.10.2020_
141,702.22,473.7016,730.44928,19:00_,3,28.229280000000017,19:00_,702.22,0.0,19:15,1h 30min,Sobota 24.10.2020_
142,753.6,473.7016,781.82928,20:00_,3,28.229280000000017,20:00_,753.6,0.0,20:15,1h 30min,Sobota 24.10.2020_
143,39.24,412.5016,52.74192,ISI_,3,13.501919999999998,-1,-1.0,40.24,-1,1h 30min,Sobota 24.10.2020_
144,130.22,409.2616,199.59715999999997,"WdGM [w], dr hab. _A.Denisiuk_",3,69.37715999999998,07:00_,85.8,44.42,8:00,1h 30min,Sobota 24.10.2020_
145,220.1,409.2616,289.47715999999997,"WdGM [w], dr hab. _A.Denisiuk_",3,69.37715999999998,09:00_,188.54,31.560000000000002,9:45,1h 30min,Sobota 24.10.2020_
146,309.53,409.2616,379.86391999999995,"WdGM [ćw], dr inż. _M.Bodzioch_",3,70.33391999999998,11:00_,291.29,18.239999999999952,11:30,2h 15min,Sobota 24.10.2020_
147,399.41,409.2616,469.74392,"WdGM [ćw], dr inż. _M.Bodzioch_",3,70.33391999999998,13:00_,394.01,5.400000000000034,13:15,2h 15min,Sobota 24.10.2020_
148,491.47,414.4516,555.33172,"IO [w], dr M.Kolev_",3,63.86171999999999,14:00_,445.39,46.08000000000004,15:00,1h 30min,Sobota 24.10.2020_
149,581.35,414.4516,645.21172,"IO [w], dr M.Kolev_",3,63.86171999999999,16:00_,548.11,33.24000000000001,16:45,1h 30min,Sobota 24.10.2020_
150,675.7,409.2616,730.5890800000001,"ASK [ćw], dr _J.Szubiakowski_",3,54.889080000000035,18:00_,650.86,24.840000000000032,18:30,1h 30min,Sobota 24.10.2020_
151,85.8,336.3916,114.02928,07:00_,3,28.229280000000003,07:00_,85.8,0.0,7:15,1h 30min,Sobota 24.10.2020_
152,137.18,336.3916,165.40928,08:00_,3,28.22927999999999,08:00_,137.18,0.0,8:15,1h 30min,Sobota 24.10.2020_
153,188.54,336.3916,216.76927999999998,09:00_,3,28.22927999999999,09:00_,188.54,0.0,9:15,1h 30min,Sobota 24.10.2020_
154,239.9,336.3916,268.12928,10:00_,3,28.22927999999999,10:00_,239.9,0.0,10:15,1h 30min,Sobota 24.10.2020_
155,291.29,336.3916,319.51928000000004,11:00_,3,28.229280000000017,11:00_,291.29,0.0,11:15,1h 30min,Sobota 24.10.2020_
156,342.65,336.3916,370.87928,12:00_,3,28.229280000000017,12:00_,342.65,0.0,12:15,1h 30min,Sobota 24.10.2020_
157,394.01,336.3916,422.23928,13:00_,3,28.229280000000017,13:00_,394.01,0.0,13:15,1h 30min,Sobota 24.10.2020_
158,445.39,336.3916,473.61928,14:00_,3,28.229280000000017,14:00_,445.39,0.0,14:15,1h 30min,Sobota 24.10.2020_
159,496.75,336.3916,524.97928,15:00_,3,28.229280000000017,15:00_,496.75,0.0,15:15,1h 30min,Sobota 24.10.2020_
160,548.11,336.3916,576.33928,16:00_,3,28.229280000000017,16:00_,548.11,0.0,16:15,1h 30min,Sobota 24.10.2020_
161,599.5,336.3916,627.72928,17:00_,3,28.229280000000017,17:00_,599.5,0.0,17:15,1h 30min,Sobota 24.10.2020_
162,650.86,336.3916,679.08928,18:00_,3,28.229280000000017,18:00_,650.86,0.0,18:15,1h 30min,Sobota 24.10.2020_
163,702.22,336.3916,730.44928,19:00_,3,28.229280000000017,19:00_,702.22,0.0,19:15,1h 30min,Sobota 24.10.2020_
164,753.6,336.3916,781.82928,20:00_,3,28.229280000000017,20:00_,753.6,0.0,20:15,1h 30min,Sobota 24.10.2020_
165,375.77,351.19,491.642,Niedziela 25.10.2020_,3,115.87200000000001,12:00_,342.65,33.120000000000005,12:45,2h 30min,Sobota 24.10.2020_
166,39.24,275.1716,52.74192,ISI_,3,13.501919999999998,-1,-1.0,40.24,-1,1h 30min,Sobota 24.10.2020_
167,189.98,277.1216,278.73355999999995,"WWW [ćw], mgr H.Pikus_",3,88.75355999999996,09:00_,188.54,1.4399999999999977,9:15,2h 15min,Sobota 24.10.2020_
168,312.29,271.9616,377.10044,"WWW [w], dr inż. _B.Nowak_",3,64.81043999999997,11:00_,291.29,21.0,11:30,1h 30min,Sobota 24.10.2020_
169,399.41,287.34159999999997,469.73588,"AiSD [ćw], mgr inż. _",3,70.32587999999998,13:00_,394.01,5.400000000000034,13:15,2h 15min,Sobota 24.10.2020_
170,489.31,287.34159999999997,559.63588,"AiSD [ćw], mgr inż. _",3,70.32588000000004,14:00_,445.39,43.920000000000016,15:00,2h 15min,Sobota 24.10.2020_
171,413.21,277.1216,572.0080399999998,T.Krzywicki                                                    _,3,158.79803999999984,13:00_,394.01,19.19999999999999,13:30,2h 30min,Sobota 24.10.2020_
172,503.11,277.1216,661.9080399999998,T.Krzywicki                                                    _,3,158.7980399999998,15:00_,496.75,6.360000000000014,15:15,2h 30min,Sobota 24.10.2020_
173,400.97,266.9216,466.11008,grupa powtórkowa_,3,65.14007999999995,13:00_,394.01,6.960000000000036,13:15,1h 30min,Sobota 24.10.2020_
174,490.87,266.9216,556.01008,grupa powtórkowa_,3,65.14008000000001,14:00_,445.39,45.48000000000002,15:00,1h 30min,Sobota 24.10.2020_
175,47.64,186.2516,782.992319999999,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - Inżynieria oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",3,735.352319999999,-1,-1.0,48.64,-1,2h 30min,Sobota 24.10.2020_
176,47.64,101.9816,134.18255999999997,Wykonał:_Mariusz Bodzioch_,3,86.54255999999997,-1,-1.0,48.64,-1,2h 15min,Sobota 24.10.2020_
177,319.85,116.0216,432.77816,Przedst. samorz. stud.:_,3,112.92815999999999,11:00_,291.29,28.560000000000002,11:45,2h 30min,Sobota 24.10.2020_
178,615.22,116.0216,657.98896,Dziekan:_,3,42.76895999999999,17:00_,599.5,15.720000000000027,17:30,1h 30min,Sobota 24.10.2020_
179,309.17,516.7516,558.0430400000002,"Plan NS sem. zimowy 2020/2021_Informatyka, NS - I st., rok III, semestr 5_",4,248.87304000000023,11:00_,291.29,17.879999999999995,11:30,2h 30min,
180,381.53,488.5,485.894,Sobota 31.10.2020_,4,104.36400000000003,12:00_,342.65,38.879999999999995,13:00,2h 30min,
181,85.8,473.7016,114.02928,07:00_,4,28.229280000000003,07:00_,85.8,0.0,7:15,1h 30min,Sobota 31.10.2020_
182,137.18,473.7016,165.40928,08:00_,4,28.22927999999999,08:00_,137.18,0.0,8:15,1h 30min,Sobota 31.10.2020_
183,188.54,473.7016,216.76927999999998,09:00_,4,28.22927999999999,09:00_,188.54,0.0,9:15,1h 30min,Sobota 31.10.2020_
